"item_id","subject","domain","question","answer","correct_answer","is_correct","confidence","model"
"0","college_biology","natural_science","A fluorescent molecule of 1,000 daltons injected into one cell is observed to en","C","C","True","100","google/gemini-2.5-pro"
"1","moral_disputes","social_moral"," The decision to remove Terri Schiavo's feeding tube, thus allowing her to die o","C","C","True","100","google/gemini-2.5-pro"
"2","miscellaneous","factual_recall","Jacques, Hedwig, and Reyes want to form a business entity through which they can","C","C","True","100","google/gemini-2.5-pro"
"3","world_religions","factual_recall","Which branch of Judaism founded by Zacharias Frankel is known for its ""Positive-","A","A","True","100","google/gemini-2.5-pro"
"4","virology","factual_recall","The most widespread and important retrovirus is HIV-1; which of the following is","C","A","False","100","google/gemini-2.5-pro"
"5","philosophy","humanities","A Loving Saint is someone:","A","A","True","100","google/gemini-2.5-pro"
"6","college_physics","natural_science","A magnetic field is directed perpendicular to the plane of a circular coil of ar","D","D","True","100","google/gemini-2.5-pro"
"7","elementary_mathematics","formal_reasoning","Westview School is buying new basketball uniforms. Each uniform costs $46. The s","C","C","True","100","google/gemini-2.5-pro"
"8","high_school_macroeconomics","social_moral","Which of the following might worsen a nation's trade deficit?","D","D","True","95","google/gemini-2.5-pro"
"9","prehistory","factual_recall","The most obvious material symbols of ancient state societies are:","C","C","True","100","google/gemini-2.5-pro"
"10","philosophy","humanities","Craig argues that the series of events in time cannot be actually infinite, so w","A","A","True","100","google/gemini-2.5-pro"
"11","moral_scenarios","social_moral","For which of these two scenarios does the main character (who uses I/me/my) do s","B","B","True","100","google/gemini-2.5-pro"
"12","high_school_computer_science","formal_reasoning","Which of the following programs is most likely to benefit from the use of a heur","C","C","True","100","google/gemini-2.5-pro"
"13","high_school_government_and_politics","social_moral","Interest groups are barred from taking part in which of the following activities","B","B","True","100","google/gemini-2.5-pro"
"14","medical_genetics","applied_professional","Which of the following is not a recognized complication of cystic fibrosis?","A","A","True","100","google/gemini-2.5-pro"
"15","high_school_microeconomics","social_moral","Production possibilities frontiers are concave to the origin because","C","C","True","100","google/gemini-2.5-pro"
"16","moral_disputes","social_moral"," According to Aristotle, if something has a function, then its good depends on","A","A","True","100","google/gemini-2.5-pro"
"17","high_school_mathematics","formal_reasoning","A consumer report revealed the following information about three tubes of toothp","A","A","True","100","google/gemini-2.5-pro"
"18","miscellaneous","factual_recall","When FDR carried states in the presidential election of 1932 how many states did","A","A","True","100","google/gemini-2.5-pro"
"19","jurisprudence","applied_professional","Which of the following arguments against the 'fair play' argument in support of ","B","B","True","95","google/gemini-2.5-pro"
"20","college_biology","natural_science","Which of the following is NOT a characteristic of introns?","D","D","True","100","google/gemini-2.5-pro"
"21","high_school_physics","natural_science","An ideal fluid flows through a pipe with radius Q and flow speed V. If the pipe ","C","C","True","100","google/gemini-2.5-pro"
"22","high_school_physics","natural_science","If L, M, and T denote the dimensions of length, mass, and time, respectively, wh","C","C","True","100","google/gemini-2.5-pro"
"23","college_chemistry","natural_science","At 25°C, the maximum amount of PbI2 that can be dissolved in 1.00 L of pure wate","D","D","True","100","google/gemini-2.5-pro"
"24","moral_scenarios","social_moral","For which of these two scenarios does the main character (who uses I/me/my) do s","A","A","True","100","google/gemini-2.5-pro"
"25","prehistory","factual_recall","In what way were Neandertals physically different from modern Homo sapiens?","A","A","True","100","google/gemini-2.5-pro"
"26","moral_disputes","social_moral"," Leopold claims that history has shown that ""the conqueror role is eventually se","D","D","True","100","google/gemini-2.5-pro"
"27","high_school_microeconomics","social_moral","Relatively free or easy entry (low or nonexistent barriers to entry) is best mat","A","A","True","100","google/gemini-2.5-pro"
"28","astronomy","natural_science","Planet X orbits its sun once every 100 Earth days and rotates in the prograde di","D","D","True","100","google/gemini-2.5-pro"
"29","moral_scenarios","social_moral","For which of these two scenarios does the main character (who uses I/me/my) do s","D","D","True","100","google/gemini-2.5-pro"
"30","astronomy","natural_science","Why do we see essentially the same face of the Moon at all times?","D","D","True","100","google/gemini-2.5-pro"
"31","college_computer_science","formal_reasoning","Suppose sharing of tiles in a multilevel directory structure is achieved with di","C","C","True","100","google/gemini-2.5-pro"
"32","moral_disputes","social_moral"," Kant's humanity formulation of the categorical imperative makes it impermissibl","C","C","True","100","google/gemini-2.5-pro"
"33","high_school_biology","natural_science","When driving from east to west in the U.S. from a forest ecosystem to grasslands","C","C","True","100","google/gemini-2.5-pro"
"34","clinical_knowledge","applied_professional","Which of the following is true of haematemesis?","A","A","True","100","google/gemini-2.5-pro"
"35","miscellaneous","factual_recall","Which of these is a fish?","A","A","True","100","google/gemini-2.5-pro"
